House,Duration,Peak,Volume,Outdoor_Events_x,Above_avg_vol,Above_avg_dur,Above_avg_peak,Outdoor_Events_y,Outdoor_User
12S246,43250,1371.9899999999982,1109.539999999999,0,1,1,1,12,1
12S250,57690,1259.5000000000023,1049.6400000000006,0,1,1,1,6,1
12S251,29010,800.0899999999996,855.6900000000002,0,1,0,1,25,1
12S252,99740,2146.82,2191.9800000000037,0,1,1,1,5,1
12S253,13030,445.2400000000002,260.3100000000002,0,0,0,0,7,1
12S254,34180,792.3099999999968,679.4899999999998,0,0,0,1,2,1
12S255,52870,693.6700000000003,1395.1299999999976,0,1,1,0,9,1
12S256,39700,751.7600000000017,771.6900000000022,0,1,1,1,4,1
12S257,12340,608.3099999999996,193.07000000000016,0,0,0,0,0,0
12S258,34370,664.4500000000004,777.5499999999968,0,1,0,0,6,1
12S259,16360,255.32999999999944,134.02999999999983,0,0,0,0,0,0
12S260,30760,469.9100000000004,517.4800000000001,0,0,0,0,14,1
12S261,35430,697.1099999999979,358.61999999999915,0,0,0,0,8,1
12S262,11350,451.07999999999987,226.12999999999988,0,0,0,0,0,0
12S263,17710,418.75999999999937,291.43000000000006,0,0,0,0,4,1
12S264,8230,134.0600000000001,252.93000000000006,0,0,0,0,0,0
12S265,19110,501.7099999999972,238.39000000000146,0,0,0,0,0,0
12S266,26890,421.67000000000024,599.1599999999991,0,0,0,0,0,0
12S268,43270,872.0099999999983,989.3400000000001,0,1,1,1,30,1
12S269,7850,178.3200000000002,192.17000000000002,0,0,0,0,0,0
12S270,63580,1036.6999999999998,1129.6700000000035,0,1,1,1,14,1
12S271,9570,238.17000000000033,97.36999999999986,0,0,0,0,0,0
12S272,75920,1340.6799999999923,859.9399999999989,0,1,1,1,32,1
12S273,47070,956.6799999999967,440.7600000000027,0,0,1,1,5,1
12S274,8050,288.0000000000001,89.27999999999996,0,0,0,0,0,0
12S275,80240,1214.1800000000007,1856.7000000000003,0,1,1,1,20,1
12S276,42770,1117.6700000000005,884.9399999999988,0,1,1,1,7,1
12S277,43230,1002.0600000000012,497.3599999999983,0,0,1,1,1,1
12S278,21540,525.0799999999998,509.9099999999997,0,0,0,0,1,1
12S279,34500,692.6500000000026,468.8699999999995,0,0,0,0,3,1
12S280,26160,882.1100000000007,453.76999999999947,0,0,0,1,4,1
12S281,30360,814.9300000000001,953.3600000000004,0,1,0,1,21,1
12S282,20040,485.49999999999994,436.22999999999973,0,0,0,0,7,1
12S283,23240,370.42000000000013,413.24999999999955,0,0,0,0,1,1
12S284,18200,636.26,338.3399999999994,0,0,0,0,0,0
12S285,58640,1339.9999999999995,832.2899999999986,0,1,1,1,5,1
12S286,38080,1073.9400000000019,849.9300000000006,0,1,1,1,4,1
12S287,52150,1135.419999999997,483.5499999999987,0,0,1,1,23,1
12S288,33340,945.5100000000023,559.8599999999989,0,0,0,1,14,1
12S289,18610,337.12999999999977,484.0199999999998,0,0,0,0,3,1
12S290,26130,459.44000000000057,332.79,0,0,0,0,2,1
12S291,14960,109.59999999999997,272.89000000000004,0,0,0,0,0,0
12S295,56250,755.4400000000006,742.8899999999996,0,1,1,1,3,1
12S296,22010,479.92000000000024,524.8500000000004,0,0,0,0,11,1
12S299,31620,1078.1300000000035,613.9999999999993,0,0,0,1,23,1
12S300,65930,1080.1200000000013,1146.669999999989,0,1,1,1,0,0
12S301,38390,1027.030000000005,645.6499999999992,0,0,1,1,16,1
12S302,26970,901.0000000000015,557.2299999999998,0,0,0,1,0,0
12S304,46660,946.880000000001,1420.8699999999983,0,1,1,1,12,1
12S308,34880,934.8800000000053,577.0199999999987,0,0,0,1,4,1
12S310,41850,852.5700000000004,1540.8199999999997,0,1,1,1,15,1
12S311,103440,2090.5400000000277,1430.3299999999804,0,1,1,1,66,1
12S313,25800,669.15,408.0799999999997,0,0,0,0,27,1
12S316,15020,460.7000000000005,246.16000000000003,0,0,0,0,7,1
12S318,13140,387.4899999999996,272.8500000000001,0,0,0,0,3,1
12S319,42800,747.8899999999998,849.3199999999996,0,1,1,1,11,1
12S321,32110,519.8699999999986,501.7399999999992,0,0,0,0,14,1
12S322,47560,1019.1100000000013,1238.2099999999962,0,1,1,1,72,1
12S323,37790,636.9700000000012,811.7100000000004,0,1,1,0,1,1
12S325,49300,1246.7400000000036,894.5100000000012,0,1,1,1,9,1
12S326,41760,1033.1700000000023,980.8899999999996,0,1,1,1,14,1
12S327,11080,166.38999999999996,290.61,0,0,0,0,14,1
12S336,34090,766.5800000000025,440.21999999999883,0,0,0,1,7,1
12S338,10960,313.12000000000086,161.38000000000008,0,0,0,0,5,1
12S339,31020,294.0599999999999,456.8400000000004,0,0,0,0,13,1
12S340,36190,628.1900000000004,718.3699999999991,0,1,1,0,43,1
12S341,13470,334.26000000000045,187.0200000000001,0,0,0,0,19,1
12S343,24430,574.6799999999995,413.5999999999997,0,0,0,0,6,1
12S345,68140,974.7400000000009,1268.8300000000063,0,1,1,1,25,1
12S346,61530,1182.1800000000035,1491.5699999999952,0,1,1,1,2,1
12S348,21860,552.0800000000014,410.6599999999995,0,0,0,0,10,1
12S350,33950,892.5800000000007,684.3899999999999,0,0,0,1,28,1
12S352,34910,1002.0599999999991,724.1500000000001,0,1,0,1,23,1
12S354,36500,510.44000000000256,457.7899999999995,0,0,1,0,3,1
12S356,27190,450.16999999999996,720.6600000000005,0,1,0,0,6,1
12S357,28890,471.7799999999998,487.4200000000001,0,0,0,0,29,1
12S359,24700,806.5500000000014,413.86,0,0,0,1,0,0
12S370,39240,627.5899999999993,861.3100000000023,0,1,1,0,10,1
12S371,46260,1253.1500000000028,720.5600000000012,0,1,1,1,17,1
12S372,25910,379.8,668.0899999999997,0,0,0,0,12,1
12S373,13970,446.04000000000053,281.91000000000014,0,0,0,0,7,1
12S374,42110,738.0300000000002,803.1299999999994,0,1,1,1,8,1
12S375,64850,1297.0500000000031,1301.1899999999862,0,1,1,1,22,1
12S376,9430,282.85999999999996,336.08000000000004,0,0,0,0,37,1
12S377,9890,344.68999999999977,293.61,0,0,0,0,10,1
12S378,70360,2029.9600000000548,835.0700000000044,0,1,1,1,2,1
12S379,35170,1137.6600000000021,745.4000000000002,0,1,0,1,20,1
12S380,52510,1059.090000000003,1410.3299999999983,0,1,1,1,14,1
12S381,36970,1242.0699999999877,803.3600000000056,0,1,1,1,236,1
12S382,26230,743.6999999999999,538.56,0,0,0,1,29,1
12S383,180,15.899999999999999,3.0100000000000002,0,0,0,0,33,1
12S384,25630,731.0499999999998,494.0199999999997,0,0,0,1,26,1
12S385,39060,1156.4799999999977,749.5400000000002,0,1,1,1,40,1
12S387,48790,1163.7200000000032,1041.9800000000005,0,1,1,1,25,1
12S388,13430,217.57999999999976,374.5599999999998,0,0,0,0,6,1
12S389,39060,448.8699999999985,573.4299999999995,0,0,1,0,34,1
12S390,2980,108.85000000000004,63.919999999999995,0,0,0,0,38,1
12S392,37990,698.0299999999966,1050.57,0,1,1,0,27,1
12S393,38100,1599.8899999999796,875.7200000000051,0,1,1,1,29,1
12S394,18050,379.9699999999995,560.3800000000005,0,0,0,0,3529,1
12S395,32250,915.8799999999919,1007.2499999999994,0,1,0,1,48,1
12S397,27930,500.94999999999857,623.5399999999996,0,0,0,0,15,1
12S398,58980,1664.8299999999872,801.7600000000103,0,1,1,1,62,1
12S399,22770,468.08999999999793,320.44,0,0,0,0,61,1
12S400,39080,1015.1099999999893,1005.3099999999995,0,1,1,1,16,1
12S404,230,2.27,3.46,0,0,0,0,6,1
12S405,41630,962.5799999999863,785.439999999998,0,1,1,1,7,1
12S406,12820,378.2799999999994,276.89,0,0,0,0,23,1
12S407,21750,412.78999999999945,481.83000000000004,0,0,0,0,41,1
12S410,55140,2007.4599999999782,1390.2399999999982,0,1,1,1,48,1
12S411,20920,467.2299999999988,652.9999999999998,0,0,0,0,23,1
12S412,54220,1429.8499999999847,1263.2199999999991,0,1,1,1,31,1
12S413,27290,367.99,495.75,0,0,0,0,17,1
12S415,62320,1151.04999999999,909.0999999999965,0,1,1,1,19,1
12S416,61540,1312.6699999999805,1487.759999999989,0,1,1,1,14,1
12S417,32810,706.8499999999947,560.42,0,0,0,0,6,1
12S422,52640,1267.489999999989,1339.09,0,1,1,1,36,1
12S425,48020,777.4499999999957,1075.5999999999997,0,1,1,1,54,1
12S428,58210,1275.9399999999957,1272.57,0,1,1,1,22,1
12S429,64770,1481.8799999999828,1447.910000000002,0,1,1,1,26,1
12S431,25730,356.2100000000002,584.2,0,0,0,0,223,1
12S432,600,25.46,22.869999999999997,0,0,0,0,38,1
12S433,27990,767.679999999996,595.1300000000003,0,0,0,1,25,1
12S436,31890,625.9200000000001,613.62,0,0,0,0,17,1
12S440,33750,657.1499999999971,1080.539999999999,0,1,0,0,17,1
12S442,34480,508.29999999999905,619.6499999999995,0,0,0,0,47,1
12S443,1390,52.789999999999985,26.359999999999996,0,0,0,0,30,1
12S444,64490,1322.479999999991,1678.730000000001,0,1,1,1,465,1
12S445,35500,512.1899999999981,887.1200000000002,0,1,0,0,7,1
12S446,18140,215.20999999999998,451.91999999999973,0,0,0,0,5,1
12S447,32800,735.7699999999999,895.6500000000004,0,1,0,1,81,1
12S448,18640,466.4100000000003,337.2200000000002,0,0,0,0,5,1
12S449,23650,670.430000000001,322.8999999999988,0,0,0,0,20,1
12S450,78320,1803.3400000000267,1282.5799999999738,0,1,1,1,7,1
12S451,8890,145.14999999999998,136.10999999999999,0,0,0,0,14,1
12S452,19710,453.12000000000256,337.8700000000004,0,0,0,0,22,1
12S453,10080,364.5700000000011,123.33000000000003,0,0,0,0,57,1
12S454,43000,1358.750000000005,782.8000000000031,0,1,1,1,30,1
12S455,3200,168.1499999999999,79.03000000000003,0,0,0,0,7,1
12S456,46770,598.6299999999998,781.9599999999962,0,1,1,0,12,1
12S457,15860,365.74999999999994,234.26999999999975,0,0,0,0,46,1
12S458,24630,598.7799999999959,398.16999999999973,0,0,0,0,26,1
12S459,21730,371.63999999999965,297.87,0,0,0,0,16,1
12S460,48490,920.5800000000005,1050.8800000000003,0,1,1,1,24,1
12S461,30040,1099.940000000001,714.29,0,1,0,1,15,1
12S462,25730,560.4499999999987,450.1699999999997,0,0,0,0,19,1
12S463,35400,1081.3600000000022,715.5700000000004,0,1,0,1,1892,1
12S464,68270,1619.0500000000006,1388.8300000000027,0,1,1,1,61,1
12S465,18500,611.5000000000003,636.1099999999998,0,0,0,0,21,1
12S466,60940,957.4000000000017,1361.4499999999973,0,1,1,1,39,1
12S467,31140,1020.7399999999999,608.6500000000002,0,0,0,1,22,1
