House,Duration,Peak,Volume,Outdoor_Events_x,Above_avg_vol,Above_avg_dur,Above_avg_peak,Outdoor_Events_y,City,Region,Outdoor_User
222,43300,815.98,911.11,0,1,1,1,0,Denver,Midwest,0
223,46360,722.26,983.45,0,1,1,0,0,Denver,Midwest,0
224,52660,984.6,1047.87,0,1,1,1,0,Denver,Midwest,0
225,26410,937.54,511.92,0,0,0,1,0,Denver,Midwest,0
226,31630,763,666.08,0,0,0,1,0,Denver,Midwest,0
230,43100,1296.7,802.86,0,1,1,1,15,Fort Collins,Midwest,1
231,69090,832.54,1163.16,0,1,1,1,10,Fort Collins,Midwest,1
232,59470,964.19,677.29,0,0,1,1,5,Fort Collins,Midwest,1
233,14470,290.67,280.72,0,0,0,0,0,Fort Collins,Midwest,0
234,35470,669.87,784.75,0,1,0,0,14,Fort Collins,Midwest,1
235,37280,739.85,665.2,0,0,1,1,19,Fort Collins,Midwest,1
236,28290,292.42,448.79,0,0,0,0,1,Fort Collins,Midwest,1
237,18670,513.79,442.67,0,0,0,0,2,Fort Collins,Midwest,1
239,10940,541.64,254.93,0,0,0,0,1,Fort Collins,Midwest,1
240,25320,709.85,523.81,0,0,0,0,19,Fort Collins,Midwest,1
243,20080,471.97,395.03,0,0,0,0,17,Fort Collins,Midwest,1
246,43250,1371.99,1109.54,0,1,1,1,12,Fort Collins,Midwest,1
250,57690,1259.5,1049.64,0,1,1,1,6,Fort Collins,Midwest,1
251,29010,800.09,855.69,0,1,0,1,25,Fort Collins,Midwest,1
252,99740,2146.82,2191.98,0,1,1,1,5,Fort Collins,Midwest,1
253,13030,445.24,260.31,0,0,0,0,7,Fort Collins,Midwest,1
254,34180,792.31,679.49,0,0,0,1,2,Fort Collins,Midwest,1
255,52870,693.67,1395.13,0,1,1,0,9,Fort Collins,Midwest,1
256,39700,751.76,771.69,0,1,1,1,4,Fort Collins,Midwest,1
257,12340,608.31,193.07,0,0,0,0,0,Fort Collins,Midwest,0
258,34370,664.45,777.55,0,1,0,0,6,Fort Collins,Midwest,1
259,16360,255.33,134.03,0,0,0,0,0,Fort Collins,Midwest,0
260,30760,469.91,517.48,0,0,0,0,14,Fort Collins,Midwest,1
261,35430,697.11,358.62,0,0,0,0,8,Fort Collins,Midwest,1
262,11350,451.08,226.13,0,0,0,0,0,Fort Collins,Midwest,0
263,17710,418.76,291.43,0,0,0,0,4,Fort Collins,Midwest,1
264,8230,134.06,252.93,0,0,0,0,0,Fort Collins,Midwest,0
265,19110,501.71,238.39,0,0,0,0,0,Fort Collins,Midwest,0
266,26890,421.67,599.16,0,0,0,0,0,Fort Collins,Midwest,0
268,43270,872.01,989.34,0,1,1,1,30,Fort Collins,Midwest,1
269,7850,178.32,192.17,0,0,0,0,0,Fort Collins,Midwest,0
270,63580,1036.7,1129.67,0,1,1,1,14,Fort Collins,Midwest,1
271,9570,238.17,97.37,0,0,0,0,0,Fort Collins,Midwest,0
272,75920,1340.68,859.94,0,1,1,1,32,Fort Collins,Midwest,1
